car,price,body,mileage,engV,engType,registration,year,model,drive
Acura,15000,sedan,150,3.5,Gas,yes,2008,RL,full
Acura,15650,crossover,170,3.7,Petrol,yes,2008,MDX,full
Acura,8699,sedan,144,3.2,Gas,yes,2005,TL,front
Acura,11111,crossover,199,3.5,Petrol,yes,2005,MDX,full
Acura,12900,sedan,126,3.5,Gas,yes,2006,RL,full
Acura,46999,crossover,30,3.5,Petrol,yes,2014,MDX,full
Acura,17200,crossover,82,3.7,Petrol,yes,2008,MDX,full
Acura,8550,sedan,145,3.2,Petrol,yes,2005,TL,front
Acura,8699,sedan,145,3.2,Gas,yes,2005,TL,front
Acura,30999,crossover,32,3.7,Other,yes,2010,ZDX,full
Acura,8700,sedan,145,3.2,Gas,yes,2005,TL,front
Acura,38200,sedan,4,2.4,Petrol,yes,2015,TLX,front
Acura,18500,crossover,85,3.7,Petrol,yes,2008,MDX,full
Alfa Romeo,5900,hatch,199,1.6,Petrol,yes,2002,147,front
Alfa Romeo,12100,sedan,91,2.2,Petrol,yes,2008,159,front
Alfa Romeo,15999,hatch,60,1.4,Petrol,yes,2012,Giulietta,front
Alfa Romeo,2350,vagon,230,1.9,Diesel,no,2003,156,front
Alfa Romeo,15300,sedan,62,2.2,Petrol,yes,2009,159,front
Alfa Romeo,2300,sedan,122,1.6,Petrol,yes,1991,75,rear
Alfa Romeo,2300,sedan,94,1.8,Petrol,no,2000,156,front
Alfa Romeo,12000,sedan,150,2.2,Petrol,yes,2008,159,front
Alfa Romeo,17500,hatch,800,1.4,Petrol,yes,2012,Giulietta,front
Alfa Romeo,11900,sedan,156,2.2,Petrol,yes,2008,159,front
Alfa Romeo,1800,hatch,185,1.7,Gas,yes,1991,33,front
Aro,3600,crossover,43,1.4,Petrol,yes,1992,10,full
Aston Martin,65000,other,37,6,Petrol,yes,2006,DB9,rear
Aston Martin,125000,sedan,18,6,Petrol,yes,2012,Rapide,rear
Aston Martin,125000,sedan,12,6,Petrol,yes,2011,Rapide,rear
Audi,2600,vagon,273,2.5,Diesel,no,1999,A6,front
Audi,2850,sedan,260,NA,Other,no,1999,A6,
Audi,37000,sedan,37,2.8,Petrol,yes,2012,A6,full
Audi,3850,vagon,215,2.5,Diesel,no,2002,A6,front
Audi,3650,sedan,240,2.5,Diesel,no,2000,A6,front
Audi,35900,crossover,143,3,Diesel,yes,2010,Q7,full
Audi,36000,crossover,145,3,Petrol,yes,2010,Q7,full
Audi,0,crossover,0,3,Diesel,yes,2015,Q7,full
Audi,88888,crossover,0,3,Diesel,yes,2015,Q7,full
Audi,18500,crossover,185,3.6,Petrol,yes,2008,Q7,full
Audi,34000,crossover,118,2,Diesel,yes,2013,Q5,full
Audi,4600,vagon,242,99.99,Diesel,no,2004,A6,front
Audi,24996,sedan,98,3.2,Petrol,yes,2009,A5,full
Audi,6800,sedan,225,2.4,Gas,yes,1998,A6,front
Audi,39000,sedan,18,1.8,Other,yes,2015,A5,front
Audi,1950,vagon,210,1.8,Gas,no,1996,A4,front
Audi,0,crossover,65,3,Diesel,yes,2013,A6,full
