Brand,Model,Mileage,Engine,Fuel,Paint_color,DrivenType,Car_type,Price,Year
BMW,5 Series,140411,100,Petrol,black,rear,convertible,11300,2012
BMW,5 Series,13929,317,Petrol,grey,rear,convertible,69700,2011
BMW,1 Series,183297,120,Diesel,white,rear,convertible,10200,2015
BMW,1 Series,128035,135,Diesel,red,rear,convertible,25100,2011
BMW,1 Series,97097,160,Diesel,silver,rear,convertible,33400,2012
BMW,1 Series,152352,225,Petrol,black,rear,convertible,17100,2012
BMW,1 Series,205219,145,Diesel,grey,rear,convertible,12400,2012
BMW,1 Series,115560,105,Petrol,white,rear,convertible,6100,2012
BMW,1 Series,123886,125,Petrol,black,rear,convertible,6200,2013
BMW,1 Series,139541,135,Diesel,white,rear,convertible,17300,2013
BMW,1 Series,77115,135,Diesel,blue,rear,convertible,19300,2013
BMW,1 Series,228000,145,Diesel,black,rear,convertible,13300,2013
BMW,1 Series,132025,135,Diesel,blue,rear,convertible,21700,2013
BMW,1 Series,77061,135,Diesel,black,rear,convertible,36300,2013
BMW,1 Series,174631,120,Diesel,black,rear,convertible,10500,2013
BMW,1 Series,208945,130,Diesel,grey,rear,convertible,8300,2013
BMW,1 Series,21167,135,Petrol,white,rear,convertible,21900,2011
BMW,1 Series,24521,270,Petrol,grey,rear,convertible,9200,2017
BMW,1 Series,205474,145,Diesel,grey,rear,convertible,11000,2017
BMW,1 Series,128940,110,Petrol,black,rear,convertible,7700,2017
BMW,1 Series,126213,225,Petrol,white,rear,convertible,16800,2017
BMW,1 Series,24868,100,Petrol,grey,full,convertible,31000,2017
BMW,1 Series,90401,135,Diesel,grey,full,convertible,26300,2017
BMW,1 Series,46963,140,Diesel,orange,full,convertible,23300,2017
BMW,1 Series,43662,180,Petrol,orange,full,convertible,20800,2017
BMW,1 Series,196092,85,Petrol,blue,full,convertible,1800,2017
BMW,1 Series,113678,190,Diesel,black,full,convertible,30100,2017
BMW,1 Series,65988,135,Diesel,grey,full,convertible,28700,2017
BMW,1 Series,123809,125,Petrol,black,full,convertible,6500,2017
BMW,1 Series,181252,120,Diesel,black,full,convertible,11100,2017
BMW,1 Series,195114,105,Diesel,red,full,convertible,9900,2017
BMW,1 Series,82761,110,Petrol,grey,full,convertible,9500,2017
