Brand,Price,Body,Mileage,EngV,EngineType,Registration,Year,Model,Drive
BMW,4700,sedan,200,NA,Petrol,yes,1996,X5,rear
BMW,19999,sedan,290,4.8,Petrol,yes,2006,X5,rear
BMW,129222,sedan,2,5,Petrol,yes,2016,5 Series,full
BMW,73900,sedan,57,4.4,Petrol,yes,2013,5 Series,rear
BMW,104999,crossover,2,3,Diesel,yes,2016,5 Series,full
BMW,66500,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,65099,crossover,0,2,Diesel,yes,2016,5 Series,full
BMW,23900,crossover,235,3,Diesel,yes,2007,5 Series,full
BMW,66200,crossover,70,3,Diesel,yes,2014,5 Series,full
BMW,63000,crossover,0,2,Diesel,yes,2015,5 Series,full
BMW,1900,sedan,300,2.5,Diesel,no,1997,5 Series,rear
BMW,39333,sedan,6,2,Petrol,yes,2016,5 Series,full
BMW,63500,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,59900,crossover,30,2,Diesel,yes,2016,5 Series,full
BMW,8500,sedan,260,2.2,Gas,yes,2001,5 Series,rear
BMW,21000,sedan,186,3,Petrol,yes,2007,5 Series,rear
BMW,3900,vagon,240,3,Diesel,no,2001,5 Series,rear
BMW,0,crossover,1,3,Diesel,yes,2014,5 Series,full
BMW,0,crossover,0,3,Diesel,yes,2015,5 Series,full
BMW,2850,sedan,214,1.9,Petrol,no,2000,5 Series,rear
BMW,6350,crossover,156,4.4,Gas,no,2002,5 Series,full
BMW,25500,other,163,4.8,Petrol,yes,2008,5 Series,full
BMW,67500,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,67500,crossover,1,2.5,Diesel,yes,2016,5 Series,full
BMW,37200,other,115,3,Diesel,yes,2011,5 Series,full
BMW,0,crossover,36,3,Diesel,yes,2013,5 Series,full
BMW,24500,crossover,170,4.8,Gas,yes,2007,5 Series,full
BMW,11500,sedan,193,4.4,Petrol,yes,2000,5 Series,rear
BMW,29900,crossover,235,3,Diesel,yes,2009,5 Series,full
BMW,66900,crossover,70,3,Diesel,yes,2014,5 Series,full
BMW,104999,crossover,2,3,Diesel,yes,2016,5 Series,full
BMW,28000,sedan,170,2,Diesel,yes,2011,5 Series,rear
BMW,0,crossover,8,2,Diesel,yes,2016,5 Series,full
BMW,30500,sedan,73,2,Petrol,yes,2013,5 Series,rear
BMW,89999,crossover,17,4.4,Petrol,yes,2015,5 Series,full
BMW,8500,sedan,284,1.9,Gas,yes,2000,5 Series,rear
BMW,2550,sedan,280,1.6,Petrol,no,2000,5 Series,rear
BMW,8000,sedan,330,NA,Diesel,yes,1997,5 Series,rear
BMW,34600,crossover,163,5,Petrol,yes,2011,5 Series,full
BMW,63500,crossover,33,3,Petrol,yes,2015,5 Series,full
BMW,1500,sedan,270,2.5,Diesel,no,1992,5 Series,rear
BMW,26900,crossover,170,3,Diesel,yes,2008,5 Series,full
BMW,8500,other,265,2.8,Gas,yes,1998,5 Series,rear
