Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
Internal,1,Account Manager,,,42405,65485,Annual,110 William St. N Y,Strategy & Analytics
Internal,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",,F,60740,162014,Annual,110 William St. N Y,Tech Talent Pipeline
External,52,Maintenance Worker - Technical Services-Heating Unit,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department
Internal,52,Maintenance Worker - Technical Services-Heating Unit,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department
Internal,50,Temporary Painter,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning
External,50,Temporary Painter,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning
Internal,1,Contract Analyst,"Finance, Accounting, & Procurement",F,50598,85053,Annual,42-09 28th Street,HIV Administration
Internal,1,Associate Chemist,"Health Public Safety, Inspections, & Enforcement",F,50623,75083,Annual,96-05 Horace Harding Expway,DWOC Labs-Lefrak
External,1,Cost Estimating Manager,"Engineering, Architecture, & Planning",F,90000,110000,Annual,CP Cap Plan-Technical Planning,Capital Planning Dept
Internal,1,Office Manager,Clerical & Administrative Support,F,30683,49707,Annual,"100 Church St., N.Y.",Appeals
Internal,1,"Deputy Director, Audits and Accounts","Finance, Accounting, & Procurement",F,49492,60000,Annual,75 Park Place New York Ny,Financial Services
External,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,COLLEGE AIDE - CLERICAL,Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street,Administration
External,1,COLLEGE AIDE - CLERICAL,Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street,Administration
Internal,1,"Clerical Associate, Bureau of Communicable Diseases",Clerical & Administrative Support,F,32086,51981,Annual,42-09 28th Street,Communicable Diseases
Internal,1,"Deputy Director, Audits and Accounts","Finance, Accounting, & Procurement Information Technology & Telecommunications",,43292,53000,Annual,75 Park Place New York Ny,Financial Services
Internal,1,311 Call Center Manager,Community & Business Services,F,49492,69000,Annual,59 Maiden Lane,311 Operations
Internal,1,"Clerical Associate, Bureau of Vital Statistics",Clerical & Administrative Support,F,32086,51981,Annual,"125 Worth Street, Nyc",Vital Statistics/Vital Recor
Internal,1,Application Support Reporting Specialist,Information Technology & Telecommunications,,81290,95896,Annual,2 Metro Tech,Develop & Integration Services
Internal,1,GIS Analyst,Information Technology & Telecommunications,F,45174,62370,Annual,2 Metro Tech,Develop & Integration Services
Internal,1,Facilities Central Supervisor,Clerical & Administrative Support,F,32086,51981,Annual,"100 Church St., N.Y.",Admin Services
Internal,1,"Director, Infrastructure Build Coordinator",Information Technology & Telecommunications,,49492,100000,Annual,2 Metro Tech,Public Safety IT Services
Internal,3,Paralegal Aide,Clerical & Administrative Support Legal,F,38089,53300,Annual,"100 Church St., N.Y.",Family Court: New York
External,3,HIGH PRESSURE PLANT TENDER,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations,Technical Services Department
Internal,3,HIGH PRESSURE PLANT TENDER,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations,Technical Services Department
Internal,1,Network Engineer I LAN/WAN,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
External,1,Network Engineer I LAN/WAN,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
Internal,1,Research Assistant,Clerical & Administrative Support Legal,F,40055,60611,Annual,75 Park Place New York Ny,General Counsel
Internal,1,Systems Administrator - Computer Software,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny,IT & Telecom
External,1,Systems Administrator - Computer Software,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny,IT & Telecom
Internal,1,311 Call Center Manager,Clerical & Administrative Support Community & Business Services,F,53373,72000,Annual,59 Maiden Lane,311 Operations
Internal,2,Tracking and Monitoring Data Analyst,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE)
External,2,Tracking and Monitoring Data Analyst,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE)
Internal,4,311 Escalation Line Team Leader,Community & Business Services,F,43118,49586,Annual,59 Maiden Lane,311 Operations
Internal,1,"Deputy Commissioner, Wastewater Treatment","Engineering, Architecture, & Planning Maintenance & Operations",F,198518,198518,Annual,96-05 Horace Harding Expway,Administration
External,1,"Deputy Commissioner, Wastewater Treatment","Engineering, Architecture, & Planning Maintenance & Operations",F,198518,198518,Annual,96-05 Horace Harding Expway,Administration
External,5,Public Health Nurse (School Health),Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation,SH Reproductive Health
Internal,5,Public Health Nurse (School Health),Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation,SH Reproductive Health
Internal,1,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",Health,F,41452,52821,Annual,R E DEV FOR Preservation,STI Case Invstgn & Partner Srv
Internal,1,Payroll Supervisor,Clerical & Administrative Support,,33799,56249,Annual,75 Park Place New York Ny,Human Resources
Internal,1,"Public Health Advisor, Bureau of STD Prevention and Control",Health,P,18.8112,24.2923,Hourly,295 Flatbush Ext Brooklyn,STI Special Projects
External,1,"Office Clerk AOT, Bureau of Mental Health",Clerical & Administrative Support,,28965,43152,Annual,42-09 28th Street,MH - Assisted out Treatment
Internal,1,"Office Clerk AOT, Bureau of Mental Health",Clerical & Administrative Support,,28965,43152,Annual,42-09 28th Street,MH - Assisted out Treatment
Internal,1,311 Call Center Manager,Community & Business Services,F,64000,71000,Annual,59 Maiden Lane,311 Operations
Internal,1,MAINTENANCE WORKER,Maintenance & Operations,,51907.68,54580.32,Annual,Manhattan Floating Staff,Manhattan Property Management
External,1,MAINTENANCE WORKER,Maintenance & Operations,,51907.68,54580.32,Annual,Manhattan Floating Staff,Manhattan Property Management
External,1,CERTIFIED IT ADMINISTRATOR (WAN),Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,CERTIFIED IT ADMINISTRATOR (WAN),Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,Payroll Data Associate,Clerical & Administrative Support,,32888,50000,Annual,75 Park Place New York Ny,Human Resources
Internal,1,Senior Civil Service Advisor,Clerical & Administrative Support Policy & Analysis,F,62260,92704,Annual,75 Park Place New York Ny,Human Resources
External,6,Director of Senior Practice Consultation,Social Services,F,58675,95000,Annual,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps
Internal,6,Director of Senior Practice Consultation,Social Services,F,58675,95000,Annual,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps
Internal,1,"HIV Program Associate, Bureau of STD Prevention and Control",Health,F,48900,69042,Annual,42-09 28th Street,STI Administration
External,1,"HIV Program Associate, Bureau of STD Prevention and Control",Health,F,48900,69042,Annual,42-09 28th Street,STI Administration
Internal,1,Senior Quality Oversight Analyst,Information Technology & Telecommunications,F,58675,125000,Annual,75 Park Place New York Ny,General Counsel
External,1,Computer Associate,Information Technology & Telecommunications,F,55556,82776,Annual,"100 Church St., N.Y.",Information Technology
Internal,1,Computer Associate,Information Technology & Telecommunications,F,55556,82776,Annual,"100 Church St., N.Y.",Information Technology
Internal,7,Best Practices Coach,Social Services,F,66000,89008,Annual,"150 William Street, New York N",Off Prev Tech Assistance (FSS)
External,7,Best Practices Coach,Social Services,F,66000,89008,Annual,"150 William Street, New York N",Off Prev Tech Assistance (FSS)
External,9,Quality Improvement Specialist,Community & Business Services Social Services,F,48895,75900,Annual,"150 William Street, New York N",DYFJ Central
Internal,9,Quality Improvement Specialist,Community & Business Services Social Services,F,48895,75900,Annual,"150 William Street, New York N",DYFJ Central
