Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,1,Capital Region, 11-2031, Public Relations and Fundraising Managers,400,103400,89550,55480,127360
10,6,Mohawk Valley Region, 15-1111, Computer and Information Research Scientists,120,103680,102530,79840,115610
10,10,Western New York Region, 39-4031," Morticians, Undertakers, and Funeral Directors",n/a,62910,64990,45420,71660
10,8,North Country Region, 39-9099," Personal Care and Service Workers, All Other",n/a,30210,30430,24730,32950
10,10,Western New York Region, 33-3041, Parking Enforcement Workers,n/a,35380,35320,29380,38390
10,5,Long Island Region, 25-2054," Special Education Teachers, Secondary School",2400,97580,101600,62940,114900
10,6,Mohawk Valley Region, 21-2011, Clergy,160,42070,36700,28240,48990
10,8,North Country Region, 45-0000,"Farming, Fishing, and Forestry Occupations",280,38410,36070,24990,45120
1,36,New York State, 23-2093," Title Examiners, Abstractors, and Searchers",3510,55680,57320,35750,65650
10,5,Long Island Region, 29-2053, Psychiatric Technicians,n/a,52080,53650,42040,57100
10,8,North Country Region, 23-0000,Legal Occupations,710,101490,93430,46180,129150
10,4,Hudson Valley Region, 13-1121," Meeting, Convention, and Event Planners",620,57260,56770,34370,68700
1,36,New York State, 31-9099," Healthcare Support Workers, All Other",6170,37160,36410,24120,43690
1,36,New York State, 21-1012,"Educational, Guidance, School, and Vocational Counselors",22430,68140,62090,39050,82680
10,3,Finger Lakes Region, 49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",450,61210,63530,38820,72400
10,5,Long Island Region, 47-4041, Hazardous Materials Removal Workers,490,65250,66400,47660,74040
1,36,New York State, 11-9061, Funeral Service Managers,580,116220,105420,49430,149620
10,8,North Country Region, 53-7051, Industrial Truck and Tractor Operators,250,37930,37720,30530,41640
10,7,New York City Region, 11-1031, Legislators,n/a,143760,139130,109860,160710
10,3,Finger Lakes Region, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",160,59700,58520,46470,66310
10,5,Long Island Region, 51-6031, Sewing Machine Operators,920,28870,25370,22880,32190
10,8,North Country Region, 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",110,35100,34340,26600,39350
10,6,Mohawk Valley Region, 27-1024, Graphic Designers,210,41650,38530,27970,48490
10,10,Western New York Region, 13-1032," Insurance Appraisers, Auto Damage",n/a,60210,57380,46320,67150
10,4,Hudson Valley Region, 25-1011," Business Teachers, Postsecondary",980,108160,82130,52750,135870
1,36,New York State, 47-2041, Carpet Installers,1220,47240,30600,24390,58670
10,7,New York City Region, 19-3051, Urban and Regional Planners,740,84020,74650,55300,98370
10,1,Capital Region, 29-1067, Surgeons,100,274040,,,
10,10,Western New York Region, 33-9032, Security Guards,5950,27160,24200,21632,29960
10,3,Finger Lakes Region, 25-2059," Special Education Teachers, All Other",n/a,53540,52670,44280,58170
10,6,Mohawk Valley Region, 47-2031, Carpenters,950,49000,47340,34980,56010
10,1,Capital Region, 39-9099," Personal Care and Service Workers, All Other",60,28200,27830,24100,30250
10,5,Long Island Region, 51-1011,First-Line Supervisors of Production and Operating Workers,4160,75420,74220,48760,88760
1,36,New York State, 43-4061," Eligibility Interviewers, Government Programs",10810,49670,48570,37350,55830
10,5,Long Island Region, 17-2081, Environmental Engineers,510,97550,90410,57470,117590
10,3,Finger Lakes Region, 31-9097, Phlebotomists,730,32560,32080,26840,35420
10,5,Long Island Region, 39-5093, Shampooers,160,22880,22880,22880,22880
10,4,Hudson Valley Region, 47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",n/a,30660,24350,22900,34550
10,5,Long Island Region, 15-1132," Software Developers, Applications",3590,105040,99460,66520,124310
10,3,Finger Lakes Region, 29-2034, Radiologic Technologists,900,53940,53890,42800,59510
1,36,New York State, 51-9198, Helpers--Production Workers,8590,29840,27290,22060,33730
10,9,Southern Tier Region, 37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",5750,28630,26260,21920,31990
1,36,New York State, 13-2053, Insurance Underwriters,7930,98560,84150,54330,120670
1,36,New York State, 51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",880,35850,33500,25640,40960
10,1,Capital Region, 21-1099,"Community and Social Service Specialists, All Other",730,58070,56570,38820,67700
10,10,Western New York Region, 47-2072, Pile-Driver Operators,n/a,79480,77500,73820,82300
10,5,Long Island Region, 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,6640,42040,38890,26010,50060
10,3,Finger Lakes Region, 11-9061, Funeral Service Managers,70,67020,60820,47600,76720
10,4,Hudson Valley Region, 53-7063, Machine Feeders and Offbearers,n/a,35140,36230,23270,41070
10,5,Long Island Region, 47-4011, Construction and Building Inspectors,1090,71180,67360,46800,83360
10,7,New York City Region, 19-2041,"Environmental Scientists and Specialists, Including Health",1300,87250,78550,50420,105660
