Fiscal Year,Agency Name,Title Description,Base Salary,Pay Basis,Regular Hours,Regular Gross Paid,Total Other Pay
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$47678.00, per Annum,1830,$47166.03,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ADMINISTRATIVE ACCOUNTANT                                   ,$119959.00, per Annum,1831,$119042.50,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39966.00, per Annum,1181.68,$27452.62,$33.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMPUTER SYSTEMS MANAGER                                    ,$116000.00, per Annum,1831,$115104.57,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1831,$71967.34,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$88000.00, per Annum,1831,$87614.01,$750.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41000.00, per Annum,349,$9507.15,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ADMINISTRATIVE ASSOCIATE    ,$66035.00, per Annum,1830,$64357.12,$3824.72
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38869.00, per Annum,200.7,$6073.13,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$42075.00, per Annum,1830,$39895.79,$74.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$66625.00, per Annum,1830,$65909.63,$33.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,PRINCIPAL ACCOUNTANT INVESTIGATOR                           ,$112592.00, per Annum,1831,$111806.82,$500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$52548.00, per Annum,1830,$51890.77,$747.93
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$43299.00, per Annum,1830,$40052.01,$526.11
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$102500.00, per Annum,1076,$59023.02,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$3500.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$40299.00, per Annum,1830,$39866.21,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$78000.00, per Annum,1509,$64498.36,$1750.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,CARPENTER                                                   ,$370.16, per Day,1830,$139072.14,$5060.37
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ELECTRICIAN'S HELPER                                        ,$217.70, per Day,1830,$56602.00,$7424.72
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$53366.00, per Annum,1829.75,$46271.84,$755.84
2016,DISTRICT ATTORNEY-MANHATTAN   ,RACKETS INVESTIGATOR                ,$59945.00, per Annum,0,$7412.58,$340.12
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$45985.00, per Annum,38.1,$4661.03,$94.40
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSISTANT                                         ,$36154.00, per Annum,1830,$35765.73,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$65600.00, per Annum,1830,$64895.59,$99.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,CLERICAL ASSOCIATE                          ,$56017.00, per Annum,1830,$55411.18,$4424.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,1383,$26422.22,$24.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1830,$71525.45,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$105189.00, per Annum,1830,$104059.31,$1000.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$88500.00, per Annum,1830,$88581.46,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$57239.00, per Annum,557,$19642.29,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY COORDINATOR                                       ,$70403.00, per Annum,1830,$64375.36,$10.75
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$50458.00, per Annum,1688.87,$47113.19,$8.25
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$37541.00, per Annum,381,$9361.24,$96.69
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$39841.00, per Annum,1830,$39413.06,$49.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$71500.00, per Annum,1831,$71668.08,$500.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$87000.00, per Annum,1831,$86719.37,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COLLEGE AIDE                                                ,$1.00, per Hour,0,$1000.00,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$38492.00, per Annum,1830,$38074.40,$5349.08
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$46817.00, per Annum,1530,$36699.13,$950.12
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$65000.00, per Annum,1830,$65833.38,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$82000.00, per Annum,1494,$66293.62,$1312.50
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$62500.00, per Annum,1488,$48775.09,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,ASSISTANT DISTRICT ATTORNEY                                 ,$151750.00, per Annum,1830,$150567.36,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$41295.00, per Annum,694.9,$16960.27,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$40075.00, per Annum,1695.42,$36148.43,$0.00
2016,DISTRICT ATTORNEY-MANHATTAN   ,COMMUNITY ASSOCIATE                                         ,$45888.00, per Annum,1830,$43271.69,$49.50
