Brand ,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Driven Mode,Number of Doors,highway MPG,city mpg,Popularity,Price
BMW,1 Series,2011,300,6,MANUAL,rear wheel drive,2,28,19,3916,40650
BMW,1 Series,2011,300,6,MANUAL,rear wheel drive,2,28,20,3916,36350
BMW,1 Series,2011,230,6,MANUAL,rear wheel drive,2,28,18,3916,29450
BMW,1 Series,2011,230,6,MANUAL,rear wheel drive,2,28,18,3916,34500
BMW,1 Series,2012,230,6,MANUAL,rear wheel drive,2,28,18,3916,31200
BMW,1 Series,2012,300,6,MANUAL,rear wheel drive,2,26,17,3916,44100
BMW,1 Series,2012,300,6,MANUAL,rear wheel drive,2,28,20,3916,39300
BMW,1 Series,2012,230,6,MANUAL,rear wheel drive,2,28,18,3916,36900
BMW,1 Series,2013,230,6,MANUAL,rear wheel drive,2,27,18,3916,37200
BMW,1 Series,2013,300,6,MANUAL,rear wheel drive,2,28,20,3916,39600
BMW,1 Series,2013,230,6,MANUAL,rear wheel drive,2,28,19,3916,31500
BMW,1 Series,2013,300,6,MANUAL,rear wheel drive,2,28,19,3916,44400
BMW,1 Series,2013,230,6,MANUAL,rear wheel drive,2,28,19,3916,37200
BMW,1 Series,2013,230,6,MANUAL,rear wheel drive,2,28,19,3916,31500
BMW,1 Series,2013,320,6,MANUAL,rear wheel drive,2,25,18,3916,48250
BMW,1 Series,2013,320,6,MANUAL,rear wheel drive,2,28,20,3916,43550
BMW,1 Series M,2011,335,6,MANUAL,rear wheel drive,2,26,19,3916,46135
BMW,2 Series,2016,240,4,AUTOMATIC,rear wheel drive,2,35,23,3916,32850
BMW,2 Series,2016,240,4,AUTOMATIC,rear wheel drive,2,34,23,3916,38650
BMW,2 Series,2016,320,6,AUTOMATIC,rear wheel drive,2,31,20,3916,48750
BMW,2 Series,2016,240,4,AUTOMATIC,all wheel drive,2,35,23,3916,34850
BMW,2 Series,2016,240,4,AUTOMATIC,all wheel drive,2,34,22,3916,40650
BMW,2 Series,2016,320,6,AUTOMATIC,rear wheel drive,2,31,20,3916,44150
BMW,2 Series,2016,240,4,MANUAL,rear wheel drive,2,34,22,3916,32850
BMW,2 Series,2016,320,6,AUTOMATIC,all wheel drive,2,30,20,3916,46150
BMW,2 Series,2016,320,6,AUTOMATIC,rear wheel drive,2,30,20,3916,50750
BMW,2 Series,2017,335,6,AUTOMATIC,all wheel drive,2,31,21,3916,46450
BMW,2 Series,2017,335,6,AUTOMATIC,rear wheel drive,2,32,21,3916,49050
BMW,2 Series,2017,335,6,AUTOMATIC,all wheel drive,2,32,21,3916,51050
BMW,2 Series,2017,335,6,AUTOMATIC,rear wheel drive,2,32,21,3916,44450
BMW,2 Series,2017,248,4,AUTOMATIC,rear wheel drive,2,34,23,3916,38950
BMW,2 Series,2017,248,4,AUTOMATIC,rear wheel drive,2,35,24,3916,33150
BMW,2 Series,2017,248,4,AUTOMATIC,all wheel drive,2,33,24,3916,35150
BMW,2 Series,2017,248,4,AUTOMATIC,all wheel drive,2,33,23,3916,40950
BMW,3 Series,2015,241,4,AUTOMATIC,all wheel drive,4,33,22,3916,41950
BMW,3 Series,2015,335,6,AUTOMATIC,rear wheel drive,4,33,25,3916,50150
BMW,3 Series,2015,240,4,AUTOMATIC,rear wheel drive,4,35,23,3916,37500
BMW,3 Series,2015,300,6,AUTOMATIC,rear wheel drive,4,32,21,3916,43750
BMW,3 Series,2015,180,4,AUTOMATIC,rear wheel drive,4,45,32,3916,39000
