Brand ,Model,Milage ,Year,Engine HP,Engine Tank,Transmission Type,Driven Mode,Number of Doors,highway MPG,city mpg,Popularity,Price
BMW,1 Series,70,2011,300,6,MANUAL,rear,2,28,19,3916,40650
BMW,1 Series,115,2011,300,6,MANUAL,rear,2,28,20,3916,36350
BMW,1 Series,36,2011,230,6,MANUAL,rear,2,28,18,3916,29450
BMW,1 Series,170,2011,230,6,MANUAL,rear,2,28,18,3916,34500
BMW,1 Series,193,2012,230,6,MANUAL,rear,2,28,18,3916,31200
BMW,1 Series,235,2012,300,6,MANUAL,rear,2,26,17,3916,44100
BMW,1 Series,70,2012,300,6,MANUAL,rear,2,28,20,3916,39300
BMW,1 Series,235,2012,230,6,MANUAL,rear,2,28,18,3916,36900
BMW,1 Series,70,2013,230,6,MANUAL,rear,2,27,18,3916,37200
BMW,1 Series,0,2013,300,6,MANUAL,rear,2,28,20,3916,39600
BMW,1 Series,300,2013,230,6,MANUAL,rear,2,28,19,3916,31500
BMW,1 Series,6,2013,300,6,MANUAL,rear,2,28,19,3916,44400
BMW,1 Series,1,2013,230,6,MANUAL,rear,2,28,19,3916,37200
BMW,1 Series,30,2013,230,6,MANUAL,rear,2,28,19,3916,31500
BMW,1 Series,260,2013,320,6,MANUAL,rear,2,25,18,3916,48250
BMW,1 Series,186,2013,320,6,MANUAL,rear,2,28,20,3916,43550
BMW,1 Series M,240,2011,335,6,MANUAL,rear,2,26,19,3916,46135
BMW,2 Series,1,2016,240,4,AUTOMATIC,rear,2,35,23,3916,32850
BMW,2 Series,0,2016,240,4,AUTOMATIC,rear,2,34,23,3916,38650
BMW,2 Series,214,2016,320,6,AUTOMATIC,rear,2,31,20,3916,48750
BMW,2 Series,156,2016,240,4,AUTOMATIC,full,2,35,23,3916,34850
BMW,2 Series,163,2016,240,4,AUTOMATIC,full,2,34,22,3916,40650
BMW,2 Series,1,2016,320,6,AUTOMATIC,rear,2,31,20,3916,44150
BMW,2 Series,1,2016,240,4,MANUAL,rear,2,34,22,3916,32850
BMW,2 Series,115,2016,320,6,AUTOMATIC,full,2,30,20,3916,46150
BMW,2 Series,36,2016,320,6,AUTOMATIC,rear,2,30,20,3916,50750
BMW,2 Series,170,2017,335,6,AUTOMATIC,full,2,31,21,3916,46450
BMW,2 Series,193,2017,335,6,AUTOMATIC,rear,2,32,21,3916,49050
BMW,2 Series,235,2017,335,6,AUTOMATIC,full,2,32,21,3916,51050
BMW,2 Series,70,2017,335,6,AUTOMATIC,rear,2,32,21,3916,44450
